Title,Year,mean_group_size,n_observations,n_encounters
1,1989,3.4375,16,16
1,1990,3.9375,16,16
1,1994,3.3333333333333335,3,3
1,1996,2.25,4,4
1,1998,2.6,20,20
1,1999,3.9,10,10
1,2001,2.7142857142857144,7,7
1,2002,2.7,10,10
1,2003,2.3333333333333335,3,3
10,1989,2.3333333333333335,3,3
10,1990,2,1,1
10,1996,2,1,1
10,1998,3.5384615384615383,13,13
10,1999,3.2,5,5
10,2002,2.6,10,10
10,2011,2.3333333333333335,3,3
1000,1997,3,2,2
1009,1996,2,3,3
101,1990,4.833333333333333,6,6
1019,1998,2.52,25,25
1019,1999,4,2,2
1019,2002,2.8,5,5
102,1990,2.8260869565217392,23,23
102,1993,3,2,2
102,1996,3.2857142857142856,14,14
102,1997,2.764705882352941,17,17
102,1998,2.3333333333333335,3,3
102,1999,3.3333333333333335,3,3
102,2001,2.4,5,5
102,2002,2.2,5,5
102,2013,2,1,1
102,2015,2.5714285714285716,7,6
102,2016,2.272727272727273,11,8
102,2017,2,3,2
1020,1996,2,1,1
1020,1997,2.2,5,5
1022,1996,3.5,4,4
1022,1997,2,3,3
1022,1999,3,1,1
1023,1996,4.25,4,4
1030,1996,2.3333333333333335,6,6
1032,1996,2,5,5
104,1989,3,3,3
104,1990,3.4166666666666665,12,12
1040,1996,2.5454545454545454,11,11
1040,1999,3.142857142857143,7,7
1042,1996,2.25,4,4
1042,1997,2.5,2,2
1043,1996,2.6666666666666665,6,6
1045,1996,2.7,10,10
1046,1996,2.375,16,16
1047,1996,2,1,1
105,1989,3,1,1
105,1990,5,1,1
1054,1996,4,2,2
1057,1996,3,1,1
1058,1996,3.7142857142857144,7,7
1059,1996,3,1,1
106,1989,3.6,5,5
106,1990,2,3,3
1062,1996,3,13,13
1063,1996,3,23,23
1063,1997,2,1,1
1066,1996,2,2,2
1068,1996,2,1,1
1069,1996,2,1,1
1069,1997,2,3,3
1072,1996,3.25,8,8
1081,1996,2.3333333333333335,6,6
1093,1996,3,2,2
1094,1996,2.6666666666666665,6,6
1094,1997,2.25,4,4
1097,1996,2.5,2,2
1109,1996,3,1,1
111,1989,4,1,1
1110,1996,2,1,1
1114,1996,2.5,2,2
1114,1997,2,1,1
1114,1999,2.6666666666666665,3,3
1114,2008,2,1,1
1116,1996,2.5,2,2
1121,1996,2.5,4,4
1124,1996,2,2,2
1134,1996,2,1,1
1136,1996,3,2,2
1140,1996,4,1,1
1142,1996,4.285714285714286,7,7
1146,1997,3,2,2
1146,1998,3.227272727272727,22,22
1146,1999,2,1,1
1147,1996,2.888888888888889,9,9
1147,1997,2,8,8
1147,1998,2,6,6
1147,1999,6.2727272727272725,11,11
1147,2006,2.5714285714285716,7,7
1147,2010,2,1,1
1148,1996,3,3,3
115,1989,5,2,2
115,1990,3,2,2
1152,1996,2,1,1
1155,1996,2.3333333333333335,3,3
1155,1998,2.8181818181818183,33,33
1158,1996,3.5,2,2
116,1989,4,1,1
1160,1996,3,1,1
1163,1996,4,2,2
1173,1996,2.5,2,2
1173,2001,4,2,2
1174,1996,2.5,2,2
1176,1996,2,1,1
1179,1996,3,1,1
118,1989,4,1,1
118,1998,3,27,27
1185,1996,3.2,5,5
119,1989,5.333333333333333,3,3
120,1989,4,2,2
120,1996,4,3,3
120,1997,3,1,1
120,1999,3.8,5,5
120,2002,2.5,6,6
120,2003,2.4,5,5
120,2006,2,1,1
120,2013,2.2,5,5
1205,1997,3,1,1
1217,1997,3.142857142857143,7,7
1219,1997,4.666666666666667,3,3
1220,1997,3.3,10,10
1221,1997,3.8,5,5
1227,1997,4,1,1
1233,1997,4,1,1
1234,1997,4,1,1
1237,1997,3,1,1
1239,1997,2.625,8,8
1239,1998,2.4615384615384617,13,13
124,1989,3,2,2
124,1994,4,1,1
124,1996,2.8333333333333335,6,6
124,1997,2,1,1
124,2002,2,1,1
1247,1997,2,1,1
1248,1997,2,2,2
1251,1997,3,1,1
1253,1998,2,1,1
1258,1997,2.3333333333333335,3,3
1264,1997,2,1,1
1266,1997,2,1,1
1267,1997,2.2222222222222223,9,9
127,1989,2.5,2,2
127,1999,3,2,2
127,2002,2.5,12,12
1270,1997,3,1,1
1272,1997,2.5,2,2
1272,1998,2,1,1
1275,1997,2.3333333333333335,3,3
1276,1997,2,1,1
1277,1997,2,1,1
1280,1997,3,1,1
1284,1997,2,1,1
1284,1998,2,1,1
129,1989,3,1,1
129,1990,2,3,3
1291,1997,2,1,1
1292,1997,2.727272727272727,11,11
1293,1997,2.6666666666666665,3,3
1296,1997,2.6666666666666665,3,3
13,1989,3.2857142857142856,7,7
13,1990,4.428571428571429,14,14
1301,1997,3,1,1
1307,1997,2,5,5
1309,1997,2,1,1
131,1989,2.5,2,2
131,1995,4,1,1
131,1997,2.6666666666666665,3,3
131,1998,3.0652173913043477,46,46
131,1999,3.909090909090909,11,11
1311,1997,2,1,1
1313,1998,2.3,10,10
1313,2001,3.6,5,5
1313,2002,3.2,10,10
1313,2006,2,1,1
1315,1997,2,4,4
1317,1997,2.5,2,2
1317,2021,2,4,4
132,1989,2,1,1
1320,1997,2,1,1
1329,1997,2,1,1
1329,1998,4.5,2,2
1332,1997,2,3,3
1332,1998,2.3333333333333335,12,12
1332,1999,2,1,1
1334,1997,2,3,3
1334,1998,2.4166666666666665,12,12
1334,1999,2.6666666666666665,3,3
1335,1997,2,2,2
1336,1994,4.5,2,2
1336,1997,2.5,2,2
1336,1998,2,1,1
1336,1999,2,1,1
1336,2001,2,1,1
1336,2021,2,1,1
1337,1997,2.25,4,4
1337,1998,4.5,2,2
134,1989,2.5,2,2
134,1990,2.5,2,2
1344,1997,2,1,1
1345,1997,2,1,1
1348,1997,2,1,1
135,1989,3,1,1
1351,1997,2,2,2
1354,1997,2,1,1
1357,1997,2.3333333333333335,3,3
1358,1997,2.2,5,5
1364,1997,2.3333333333333335,3,3
1364,2001,2,3,3
1364,2002,2.25,4,4
1364,2010,2.5,2,2
1364,2016,2.5714285714285716,7,7
1369,1997,2,1,1
138,1989,3,1,1
14,1989,2,1,1
1404,1998,2.875,8,8
141,1989,3,3,3
1410,1998,2.5,4,4
1414,1998,3.8,5,5
1417,1998,3.375,8,8
1418,1998,2.8333333333333335,6,6
1420,1998,3,1,1
1422,1998,2.933333333333333,15,15
1424,1998,2.96,25,25
1426,1998,2,2,2
1429,1998,2,2,2
143,1990,2,1,1
143,1997,2,3,3
143,2006,3,1,1
1435,1998,3.6666666666666665,6,6
1436,1998,2.25,4,4
1438,1998,2.5,4,4
1438,1999,4,2,2
144,1989,3,1,1
1442,1998,3.5,4,4
1450,1998,2.2857142857142856,7,7
1451,1998,2.5,6,6
1458,1998,3,3,3
1458,2002,3,1,1
1458,2006,2,1,1
1458,2010,2,4,3
1458,2011,2,1,1
1458,2016,2.1,10,7
146,1989,3,2,2
1461,1998,3.4285714285714284,7,7
1461,1999,6,4,4
1469,1998,2,9,9
1469,1999,5,14,14
1470,1998,2,14,14
1470,1999,5.5,6,6
1470,2003,2.6666666666666665,3,3
1472,1998,2.736842105263158,19,19
1472,1999,3.888888888888889,9,9
1473,1998,2.5,2,2
1479,1998,2,1,1
1488,1998,3,1,1
149,1989,3,1,1
1493,1998,2,1,1
1493,1999,9,1,1
1496,1998,2,1,1
1497,1998,2,1,1
15,1989,6,2,2
15,1990,2,2,2
1500,1998,3,1,1
1501,1998,2.25,4,4
1503,1998,3,1,1
1504,1998,2,2,2
1505,1998,2,3,3
1507,1998,2.5,2,2
151,1989,2.3333333333333335,3,3
1510,1998,2.6,5,5
1512,1998,2.5,6,6
1512,2002,2,2,2
1513,1998,2.6666666666666665,3,3
1515,1998,4,1,1
152,1990,2.6153846153846154,13,13
153,1989,2.3333333333333335,3,3
153,1990,3,1,1
156,1989,2,4,4
156,1990,2,1,1
158,1990,2,1,1
159,1989,2.4,5,5
159,1996,3,2,2
159,1997,2.4285714285714284,7,7
16,1990,5.2,5,5
16,2001,3,2,2
16,2002,4,1,1
16,2011,2,2,2
1602,1999,6,1,1
1605,1999,4.5,2,2
1618,1999,4.625,8,8
162,1989,2.5,2,2
162,1994,3,2,2
162,1999,8,1,1
162,2011,2,1,1
162,2019,2.375,8,3
162,2021,2,9,7
1621,1999,4,4,4
1622,1999,3.4,5,5
1623,1999,3.5,2,2
1626,1999,5,1,1
1628,1999,4.5,2,2
1630,1999,6.666666666666667,6,6
1631,1999,7,1,1
1632,1999,7,1,1
1633,1999,5.333333333333333,9,9
1634,1999,6.5,8,8
1642,2001,3,1,1
1645,1999,5,9,9
1651,1999,5.5,4,4
166,1990,2.5,2,2
1662,1999,2.75,4,4
1667,1999,3,1,1
1672,1999,3.5,2,2
1674,1999,4,1,1
1676,1999,6,2,2
1676,2002,2,1,1
1676,2013,2.5,2,2
1677,1999,5,4,4
168,1989,2,4,4
1687,1999,2,1,1
1692,1999,4.25,4,4
1693,1999,5,3,3
1695,1999,9,1,1
1696,1999,9,1,1
1697,1999,9,1,1
17,1989,4.2,5,5
17,1996,2,1,1
17,1999,6,1,1
17,2001,2.5714285714285716,7,7
17,2002,2,1,1
170,1997,2,1,1
170,1998,3.8333333333333335,6,6
170,1999,5.6,5,5
170,2011,2,1,1
1715,2001,2,1,1
1716,2001,2,1,1
1720,2001,2,1,1
1721,2001,2,1,1
1723,2001,2.25,4,4
1730,2001,2,1,1
1735,2001,2,1,1
1737,2001,2,1,1
1739,2001,3,3,3
1739,2011,2.3333333333333335,3,3
1739,2013,2.2222222222222223,9,8
1739,2015,2.4,5,5
1739,2016,2.25,20,16
1739,2017,3,1,1
1739,2023,2.2857142857142856,7,4
174,1989,2,2,2
1744,2001,6,1,1
1747,2006,2.6363636363636362,11,11
1747,2007,2,2,1
1749,2001,6,1,1
1750,2001,6,1,1
1752,2001,3,3,3
1753,2001,2.5,6,6
1756,2001,2,1,1
1757,2001,2,3,3
1757,2006,2.8,10,10
1757,2010,2.5,4,3
1757,2011,2,1,1
1757,2015,2,5,4
1757,2016,2,3,2
1759,2001,2,1,1
176,1989,2,1,1
1765,2001,3,1,1
1774,2001,2,1,1
1777,2001,2,1,1
1779,2001,2,1,1
1779,2002,2.25,4,4
1779,2006,3.25,4,4
178,1989,2,1,1
1791,2001,2,1,1
1796,2001,4,2,2
18,1989,2,1,1
18,1990,2.6666666666666665,3,3
18,1994,3,2,2
18,1995,4,1,1
18,1996,3.25,4,4
18,1997,2.3333333333333335,3,3
1803,2001,2,1,1
1804,2001,2,1,1
1818,2001,2,3,3
1825,2001,2,2,2
1829,2001,2,2,2
1829,2002,4,4,4
1829,2017,2.090909090909091,11,10
183,1996,3.4,10,10
1832,2001,2.6666666666666665,3,3
184,1989,3,1,1
184,1990,3.75,4,4
186,1989,3,1,1
186,1990,2,2,2
189,1989,3.5,2,2
1904,2006,4,3,3
1904,2016,2,5,4
1907,2002,3,1,1
1917,2002,3,2,2
1919,2002,2,1,1
1924,2002,2,1,1
1929,2002,2.2857142857142856,7,7
1929,2011,2,3,3
1930,2002,2.7777777777777777,9,9
1932,2002,2,1,1
1939,2002,3.5,2,2
1942,2002,3,2,2
1943,2002,3,2,2
1946,2002,3.8,5,5
195,1989,4,1,1
1956,2002,2,1,1
1957,2002,3.3333333333333335,3,3
1959,2002,4,2,2
1960,2002,2,1,1
1961,2002,2,2,2
1962,2002,4.5,2,2
1964,2002,3,1,1
1966,2002,2.6666666666666665,6,6
1967,2002,2,1,1
1968,2002,2,1,1
197,1989,2,1,1
1971,2002,2,1,1
1978,2002,2.4,5,5
1980,2002,4,1,1
1981,2002,2,1,1
1987,2002,2,1,1
2,1989,3.4,5,5
2000,2002,3,4,4
2008,2002,2.5,4,4
2010,2002,3.1666666666666665,6,6
2013,2002,2,1,1
2014,2002,2.2222222222222223,9,9
2019,2002,3,7,7
2020,2002,2,3,3
2025,2002,2,1,1
2028,2002,3.2,5,5
2028,2011,2.25,4,4
2028,2015,2,1,1
2029,2002,4,2,2
2030,2002,3.5,2,2
2032,2002,2,2,2
2033,2002,2,3,3
2034,2002,2,1,1
2036,2002,2,1,1
2038,2002,2,2,2
2040,2002,3.2222222222222223,9,9
2041,2002,3.0833333333333335,12,12
2042,2002,2.2222222222222223,9,9
2048,2002,4.333333333333333,3,3
2048,2015,2.6666666666666665,3,3
2048,2016,2.6666666666666665,6,4
2049,2002,3.5,2,2
2052,2002,2,1,1
2062,2002,4.333333333333333,3,3
207,1989,2,1,1
2077,2002,3,1,1
208,1990,5,2,2
2081,2002,2,1,1
2089,2002,3.4,5,5
2090,2002,3,7,7
2096,2002,3,1,1
2097,2002,2,1,1
21,1989,3.5,2,2
2101,2002,2,1,1
2102,1999,9,1,1
2102,2002,2.5,4,4
2102,2003,2,1,1
2102,2011,2.5,2,2
2102,2013,3,2,1
2103,2002,3,1,1
2104,2002,3,1,1
2106,2002,2,1,1
2107,2002,2,1,1
2107,2003,2.5,2,2
2109,2002,2.6666666666666665,3,3
2110,2002,4,1,1
2112,2002,2,1,1
2116,2002,2,1,1
213,1990,4.5,4,4
213,2001,2.5,2,2
213,2002,2.4285714285714284,7,7
2130,2002,3,1,1
2135,2002,3,1,1
2137,2002,3,1,1
2138,2002,2.5,2,2
2144,2002,2.25,4,4
215,1989,2,1,1
2156,2002,2,1,1
22,1989,2.5,2,2
22,1990,3,1,1
222,1994,4,2,2
222,1998,2,3,3
2220,2003,3,6,6
2229,2003,3,1,1
223,1988,3,1,1
2232,2003,3,1,1
2235,2003,3,2,2
2237,2003,2.5,2,2
2241,2003,5,1,1
2246,2003,2,1,1
2246,2011,2,1,1
2250,2003,2,1,1
2252,2003,4,1,1
2258,2003,2,1,1
2259,2003,3,1,1
2263,2003,5,1,1
235,1990,5,1,1
235,1993,3.857142857142857,7,7
235,1994,2,2,2
237,1990,3.2666666666666666,15,15
237,1993,2.6666666666666665,3,3
238,1990,3.4444444444444446,9,9
24,1989,4.5,2,2
240,1990,3.5714285714285716,7,7
242,1988,2,1,1
244,1988,2,1,1
245,1988,2,1,1
25,1989,4.125,8,8
250,1988,2,1,1
251,1988,2,1,1
251,1990,2.923076923076923,13,13
251,1993,7,2,2
251,1994,3.25,4,4
251,1998,2.875,8,8
251,1999,4.2,5,5
251,2002,2.5714285714285716,7,7
251,2003,3.2,5,5
26,1989,4.5,2,2
265,1990,2,1,1
266,1990,2,1,1
267,1990,4.166666666666667,6,6
267,1993,7,2,2
269,1990,2.5,2,2
271,1990,2.6,5,5
273,1990,3.75,4,4
275,1990,2,1,1
277,1990,3,4,4
278,1990,2,1,1
279,1990,2,1,1
28,1989,3.2222222222222223,9,9
28,1990,3.1666666666666665,6,6
28,1996,3,1,1
28,1997,3.6,5,5
28,2001,4,2,2
28,2002,2.5,2,2
28,2013,2.6666666666666665,3,3
280,1990,3,1,1
281,1990,3,3,3
282,1990,4.2,5,5
283,1990,3.3333333333333335,3,3
285,1990,4.5,2,2
289,1990,3.75,4,4
29,1989,5,2,2
29,1993,6,1,1
290,1990,3.608695652173913,23,23
291,1990,3.125,16,16
293,2001,4.333333333333333,3,3
293,2002,2.5625,16,16
293,2015,2.25,4,4
295,1990,4,4,4
3,1988,3,1,1
3,1989,2.75,4,4
3,1990,3.55,20,20
3,1998,2.5869565217391304,46,46
3,1999,4.285714285714286,7,7
3,2001,2.5,4,4
3,2002,2.75,4,4
3,2003,2,2,2
3009,2006,3,8,8
3009,2010,3,1,1
3009,2011,2,1,1
3009,2013,2.1818181818181817,11,9
3009,2016,2.090909090909091,11,9
3012,2006,3,2,2
3012,2013,3,3,3
3012,2016,2,2,2
3012,2017,2.6666666666666665,3,2
3013,2006,4,1,1
3016,2011,2,2,2
3016,2013,2.75,4,3
3024,2006,2,1,1
3025,2006,2,1,1
3025,2011,2,7,6
303,1996,2.5,2,2
303,1998,2,5,5
303,2011,3,1,1
304,1990,4.666666666666667,3,3
305,1990,4,2,2
305,1993,2,2,2
306,1990,2,1,1
3082,2006,2,1,1
3085,2006,2,1,1
3086,2006,2.272727272727273,11,11
3086,2007,2,1,1
3086,2010,2,1,1
3086,2021,2,8,6
3087,2006,2.642857142857143,14,14
3098,2006,2.2,5,5
3098,2011,2,1,1
31,1989,2,1,1
3101,2006,2,1,1
3103,2006,2,2,2
3106,2006,3,1,1
3108,2006,2.5,2,2
313,1990,3.5,4,4
314,1990,3.090909090909091,11,11
315,1990,4,1,1
316,1990,2.2222222222222223,9,9
317,1990,2.8,5,5
317,1993,10,1,1
317,1996,3,2,2
317,1997,3.5,8,8
318,1990,2.857142857142857,7,7
32,1989,3.75,4,4
32,1990,6,4,4
32,1994,2,1,1
320,1990,2.1666666666666665,6,6
322,1990,2.6666666666666665,3,3
322,1994,4,1,1
328,1990,4,1,1
329,1990,2,3,3
33,1989,2,1,1
33,1996,2.25,4,4
33,1998,3.0434782608695654,23,23
33,1999,4.4,5,5
33,2001,4,1,1
33,2002,3.2,5,5
33,2003,2.5,4,4
330,1990,2,1,1
331,1990,2,1,1
332,1990,2.5,4,4
333,1990,3,2,2
337,1990,3,1,1
34,1989,2,1,1
34,1990,3,1,1
348,1990,2,1,1
355,1990,3.3333333333333335,3,3
361,1990,3,1,1
363,1990,5,2,2
37,1989,3.4,5,5
37,1990,4.571428571428571,7,7
37,1996,3.3,10,10
37,1997,2.2,5,5
37,1998,2.5714285714285716,7,7
37,1999,3.857142857142857,14,14
37,2002,4,6,6
374,1990,2,2,2
380,1990,4.5,2,2
384,1990,3.5,2,2
385,1990,3.6666666666666665,3,3
385,1994,5,1,1
386,1990,5,1,1
389,1990,3.5,2,2
39,1989,3.6666666666666665,3,3
390,1990,2.5,2,2
390,1994,2,1,1
390,1995,2.5,4,4
391,1990,2,2,2
399,1990,3.6666666666666665,9,9
40,1989,3.6666666666666665,3,3
40,1990,6,1,1
405,1990,2,1,1
406,1990,3.5714285714285716,7,7
407,1990,4.25,4,4
407,1995,4,1,1
407,1996,2,1,1
409,1990,7,1,1
409,1993,2,2,2
409,1996,4,2,2
409,1997,2.3333333333333335,6,6
409,1998,2.9,10,10
409,2002,2.933333333333333,15,15
409,2011,2,1,1
409,2016,2.5,2,2
409,2019,2.25,8,7
409,2021,2,10,5
409,2023,2,5,4
41,1989,5,1,1
4103,2006,3,5,5
4103,2007,2,1,1
4103,2011,2,1,1
4103,2013,2,2,2
4103,2016,2,3,3
4103,2017,2,4,4
4103,2019,2,2,2
4104,2007,2,1,1
4104,2015,2,3,3
4104,2019,2.5,2,2
4111,2007,2,1,1
4113,2015,2,1,1
4113,2016,2.6153846153846154,13,8
4114,2010,2,2,2
4114,2011,2,2,2
4116,2007,2,1,1
4117,2007,2,1,1
4117,2011,2,2,2
4118,2007,2,1,1
4118,2010,2,1,1
413,1990,4.5,6,6
413,1996,3.7142857142857144,7,7
413,1997,2.25,8,8
413,1998,2.9166666666666665,12,12
413,1999,5.5,8,8
413,2002,4,4,4
418,1990,2.5,8,8
418,1991,2,1,1
418,1993,2,1,1
42,1989,2,1,1
420,1990,2.857142857142857,7,7
4203,2010,4,1,1
4203,2011,2,4,4
4203,2015,2,3,1
4203,2019,2,2,2
4203,2023,2,3,1
4206,2008,2,1,1
4206,2010,2,1,1
4206,2011,2,2,2
4207,2008,2,1,1
4208,2008,2,1,1
425,1990,3,5,5
427,1990,3.2222222222222223,9,9
43,1988,3,1,1
43,1989,2,1,1
43,1990,2,1,1
432,1990,4,10,10
432,1993,3,3,3
433,1990,3.4,10,10
433,1993,3,1,1
435,1990,3.25,8,8
436,1990,5.333333333333333,3,3
437,1990,4.666666666666667,3,3
440,1990,2.857142857142857,7,7
448,1990,7,1,1
449,1990,3.142857142857143,7,7
45,1989,2.6666666666666665,3,3
45,1990,3.4,15,15
45,1993,3,5,5
45,1994,3.125,8,8
45,1996,2.6666666666666665,9,9
45,1997,2.2666666666666666,15,15
45,1998,2.85,40,40
45,1999,5.142857142857143,7,7
45,2002,2.75,8,8
45,2003,3.111111111111111,9,9
45,2011,2,2,2
45,2013,2.6,5,4
45,2015,2,3,3
45,2016,2.25,20,17
45,2019,2,2,1
450,1990,2,2,2
4513,2011,2,1,1
4513,2015,2,2,2
4513,2023,2,6,4
4514,2010,2,1,1
4514,2011,2,2,2
452,1990,8,1,1
453,1990,3,1,1
46,1989,3,4,4
46,1990,2,1,1
461,1990,2.5,2,2
462,1990,3,3,3
464,1990,2.5,2,2
465,1990,3,1,1
466,1990,3.5,2,2
466,1996,2.2,5,5
467,1990,4,1,1
468,1990,4,1,1
47,1989,3.1666666666666665,6,6
47,1990,3,6,6
470,1990,3,1,1
473,1990,3.5,2,2
477,1990,2,2,2
478,1990,2,1,1
479,1990,3.5,2,2
480,1990,2.5,2,2
480,1996,2,1,1
480,1997,3,2,2
480,1998,3,1,1
480,1999,3.2,5,5
480,2001,2.6666666666666665,3,3
480,2002,2.8333333333333335,6,6
480,2003,2.5,2,2
480,2011,2,1,1
483,1990,2.5,2,2
484,1990,3,1,1
488,1990,5,1,1
49,1989,2,2,2
494,1990,3,2,2
496,1990,5.666666666666667,3,3
498,1990,4.666666666666667,3,3
5,1989,2.142857142857143,7,7
5,1990,6,1,1
5,1993,6,2,2
5,2001,2.25,4,4
50,1989,3.25,4,4
5001,2011,2,4,4
5001,2015,2,1,1
5001,2016,2,4,3
5002,2015,2,5,5
5003,2010,2,2,2
5003,2011,2,3,2
5003,2016,2.8333333333333335,6,6
5003,2019,2,1,1
5003,2023,3.5,2,2
5009,2010,2.1666666666666665,6,6
5009,2011,2.3333333333333335,3,3
5009,2013,2.625,8,6
501,1990,4,2,2
5011,2011,2,2,2
5015,2011,2.25,4,4
5016,2011,2.3333333333333335,3,3
5018,2011,2,6,6
5018,2016,2.2857142857142856,14,13
5018,2019,2.2,10,10
5019,2011,2,2,2
5019,2016,2,4,4
5019,2019,3,1,1
5021,2011,2,1,1
5024,2011,2,1,1
5024,2015,2,2,2
5024,2016,2.5,6,4
5025,2011,2.5,4,4
5025,2016,2,8,7
5027,2011,2.6666666666666665,3,3
5027,2013,2,1,1
5028,2011,2,7,6
5029,2010,2,1,1
5029,2011,2,2,2
5029,2015,2,1,1
5029,2016,2,11,9
5031,2010,2,2,2
5032,2010,2.142857142857143,7,7
5033,2010,2,3,3
5035,2010,2,2,2
5035,2015,2,1,1
5035,2019,2.5,6,4
5036,2010,2,1,1
5036,2011,2,2,2
